workYear,createTime,salary,education,city,positionName,search_name,positionId,work_duty,work_requirement
3-5年,2018-09-29 17:06:04,12k-24k,本科,南京,前端开发工程师,前端工程师,5022508,负责前端产品技术架构设计/负责制定开发计划并带领组员完成开发任务/负责前端技术团队整体规划与人才培养/参与制定前端技术规范与技术规约，参与代码评审与技术验证/,至少熟练掌握现代Web开发技术中的一种（Angular React Vue）/熟练掌握Less CSS/至少年纯前台开发经验/
1-3年,2018-09-30 09:34:07,5k-10k,大专,杭州,前端开发工程师,前端工程师,5185133," 配合UI，熟练使用前端技术完成符合web标准的页面/ 了解前后端分离，熟练掌握Ajax技术进行前后端的数据交互/ 熟练掌握JavaScript HTML CSS等技术，并有过相关项目经验/ 至少熟悉一种mvvm框架（如Vuejs, React, Angular等），并有过项目经验/ 了解或熟悉Nodejs es Less webpack gulp svn/Git等前端技术/ 年以上前端工作或实习经验/ 热爱前端技术，积极向上，有较强的责任心和不断探索的态度/", 有良好的编码习惯，以及严格的自我要求/ 软件工程或计算机专业优先考虑/ 有过软件或移动应用项目开发经验/ 熟悉一门服务端语言/
3-5年,2018-09-26 17:35:52,15k-25k,本科,北京,前端开发工程师,前端工程师,4580890,,
3-5年,2018-09-25 09:45:48,17k-34k,本科,杭州,前端开发工程师,前端工程师,4849222, 负责点我达中后台应用的开发与维护/ 参与前端统一组件库编写/ 参与大前端背景下BFF层架构设计与优化/ 关注和学习业界最新的大前端技术/, 精通HTML+CSS+JS编程/ 熟练掌握React开发以及React下数据状态管理/ 有一定的Koa/Express项目经验，了解后端编程语言思想者优先/ 有JS/NodeJs性能优化经验，追求极致者优先/ 有较强沟通能力，责任心和团队协作精神，具备独立解决问题能力/
不限,2018-09-29 09:29:54,15k-20k,本科,上海,前端开发工程师,前端工程师,5035515,精通各种前端技术，对中大型互联网产品开发有实际经验/熟悉多种JavaScript框架如React Vue等，以及对它们的适用范围有独到见解/熟悉前端样式预处理脚本，如Sass/Less/PostCSS等/熟悉npm包管理，掌握前端构建工具如webpack Shell脚本/对Web前台的性能优化以及Web常见安全漏洞有一定的理解和相关实践/个性乐观开朗，有较强的逻辑思维能力 沟通能力和抗压能力和自我管理能力/有Nodejs线上系统的开发 运维经验优先/,
3-5年,2018-09-30 09:01:13,12k-24k,本科,杭州,前端,前端工程师,3086225,对原生JS有深刻理解，掌握浏览器渲染原理/熟练使用Html，CSS，JavaScript以及响应式布局/具有面向对象编程思想，理解MVC&MMVM设计模式，熟练掌握Ajax，DOM，JSON等前端相关技术/熟悉WC标准，对表现与数据分离 Web语义化等有深刻理解/熟悉至少一种主流JS框架（jQuery除外），熟悉React/Vuejs并有相关项目经验者优先/有移动端开发经验，熟悉移动端页面性能调优/富于探索创新精神，良好的沟通能力与团队合作意识/对前端开发有自己的独特的见解/追求前端的交互体验和页面效果/ 本科及以上学历，在互联网相关的前端开发行业从业专注年以上/,
5-10年,2018-09-29 17:49:29,20k-40k,本科,杭州,前端,前端工程师,4521901,能够根据产品需求快速合理的提供技术选型解决方案/运用JS H NodeJs和VueJs ReactJs AngularJS其中一种框架/快速实现核心代码的模块封装及业务逻辑实现/对前端代码技术改进 网站性能优化和技术选型提供解决方案，并可根据业务需求实现持续优化/具有丰富的前端框架搭建和组件封装设计能力 并有扩展持续开发和优化能力/,-年上相关项目工作经验/精通Web端JS，jQuery，NodeJs等前端运用技术/精通AJAX XML JSON JSONP等后台数据交换方式/至少精通使用 Vuejs Reactjs AngularJS 三种框架中的一种/熟悉前端工程化与模块化开发，并有丰富实践经验/
1-3年,2018-09-29 10:13:49,20k-40k,本科,北京,前端开发工程师,前端工程师,4880837, 负责互联网金融相关产品的前端UI与交互开发，确保在不同平台 设备 浏览器上均拥有优质的用户体验/ 前端框架的设计与实现/ 各业务模块前端代码开发/ 平台易用性与用户体验的持续改进/ Web前沿技术研究 应用和推广/, 计算机或相关专业本科及以上学历/ 年以上工作经验，精通各种Web前端技术（HTML/CSS/Javascript等)，熟练跨浏览器 跨终端的开发/ 深刻理解Web标准，对前端性能 可访问性 可维护性等相关知识有实际的了解和实践经验/ 掌握iOS，Android等平台浏览器的特性，精通各平台浏览器兼容性解决方案，熟练无线端的性能优化/ 熟悉javascript面向对象机制，能用原生javascript进行DOM编程至少熟悉一种javascript框架，能够使用框架快速开发/ 优秀的学习能力，分析和解决问题的能力和强烈的进取心/
3-5年,2018-09-29 10:15:27,12k-20k,不限,深圳,前端工程师,前端工程师,4996109,大专及以上学历，年或以上工作经验/熟练使用HTML CSS，熟悉SCSS/熟练使用原生Javascript ES开发/熟练掌握Vue AngularJS React等框架中的一种或几种，熟悉MVC MVVM等前端开发模型/,
3-5年,2018-09-29 10:19:45,15k-25k,本科,上海,前端开发工程师,前端工程师,4566444,前端技术选择，规范制定/规划公司产品的前端架构/制定公司产品的UX规范 /配合后端架构师，数据架构师规划公司的产品架构，持续集成 /,"三年以上前端开发经验, 精通HTML, CSS, JavaScript等Web标准，熟悉HTML/CSS等Web前端技术/精通JavaScript面向对象编程方法，精通jQuery，熟悉Backbone，Angularjs等js框架的优先考虑/精通CSS及在各类主流浏览器上的差异，熟悉使用CSS语言如sass，less等进行开发熟悉Bootstrap等框架的优先考虑/熟悉交互设计，对可用性 可访问性等用户体验知识有实践经验/能对前端页面进行SEO优化，精通Web性能调优/Web前沿技术研究和新技术调研/思路清晰，优秀的控制与沟通能力/有较强的责任心和事业心，能够承受较大的工作压力，有时间观念，具有团队合作精神/"
